NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Versican Plus Pi/L4;canine parainfluenza virus and Leptospira;Canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090 and L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091 (all inactivated);;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/versican-plus-pi-l4
Versican Plus Pi;canine parainfluenza virus;canine parainfluenza type-2 virus, strain CPiV-2 Bio 15 (live attenuated);;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/versican-plus-pi
Versican Plus L4;Canine leptospirosis vaccine (inactivated);Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091 (all inactivated);;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/versican-plus-l4
Innovax-ND-IBD;Newcastle disease, infectious bursal disease and Marek's disease vaccine (live recombinant);Cell-associated live recombinant turkey herpesvirus (strain HVP360), expressing the fusion protein of ND virus and the VP2 protein of IBD virus;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/innovax-nd-ibd
Vaxxitek HVT+IBD;Infectious bursal disease and Marek's disease vaccine (live recombinant);Recombinant turkey herpesvirus, strain vhvt013-69, live;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/vaxxitek-hvtibd
Wyost;denosumab;denosumab;"Prevention of skeletal related events (SREs) (pathological fracture, radiation to bone, spinal cord compression or surgery to bone) in adults with advanced malignancies involving bone.&nbsp; Treatment of adults and skeletally mature adolescents with giant cell tumour of bone that is unresectable or where surgical resection is likely to result in severe morbidity.";https://www.ema.europa.eu/en/medicines/human/EPAR/wyost
Poulvac E. coli;Escherichia coli aroA gene deleted, type O78, strain EC34195 (live);Live aroA gene deleted Escherichia coli, type 078, strain EC34195;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/poulvac-e-coli
Porcilis PCV M Hyo;"porcine circovirus type 2 ORF2 subunit antigen;mycoplasma hyopneumoniae vaccine (inactivated)";Porcine circovirus type 2 (PCV2) ORF2 subunit antigen, Mycoplasma hyopneumoniae J strain inactivated;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/porcilis-pcv-m-hyo
Byetta;exenatide;exenatide;"Byetta is indicated for treatment of type-2 diabetes mellitus in combination with:  metformin; sulphonylureas; thiazolidinediones; metformin and a sulphonylurea; metformin and a thiazolidinedione;  in adults who have not achieved adequate glycaemic control on maximally tolerated doses of these oral therapies. Byetta is also indicated as adjunctive therapy to basal insulin with or without metformin and / or pioglitazone in adults who have not achieved adequate glycaemic control with these agents.";https://www.ema.europa.eu/en/medicines/human/EPAR/byetta
Xerava;eravacycline;eravacycline;Xerava is indicated for the treatment of complicated intra-abdominal infections (cIAI) in adults. Consideration should be given to official guidance on the appropriate use of antibacterial agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/xerava
Riltrava Aerosphere;"formoterol fumarate dihydrate;glycopyrronium;budesonide";"Budesonide;formoterol fumarate dihydrate;Glycopyrronium bromide";Riltrava Aerosphere is indicated as a maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long-acting beta2 agonist or combination of a long-acting beta2 agonist and a long-acting muscarinic antagonist (for effects on symptoms control and prevention of exacerbations see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/riltrava-aerosphere
Kinpeygo;budesonide;budesonide, micronised;Kinpeygo is indicated for the treatment of adults with primary immunoglobulin A nephropathy (IgAN) with a urine protein excretion ≥1.0 g/day (or urine protein-to-creatinine ratio ≥0.8 g/g).;https://www.ema.europa.eu/en/medicines/human/EPAR/kinpeygo
Tofidence;tocilizumab;tocilizumab;"Rheumatoid arthritis (RA):  the treatment of severe, active and progressive rheumatoid arthritis (RA) in adults not previously treated with methotrexate (MTX) (monotherapy or in combination with MTX). the treatment of moderate to severe active RA in adult patients who have either responded inadequately to, or who were intolerant to, previous therapy with one or more disease-modifying anti-rheumatic drugs (DMARDs) or tumor necrosis factor (TNF) antagonists (monotherapy or in combination with MTX).  Coronavirus disease 2019 (COVID-19): the treatment of coronavirus disease 2019 (COVID-19) in adults who are receiving systemic corticosteroids and require supplemental oxygen or mechanical ventilation. Polyarticular juvenile idiopathic arthritis (pJIA): the treatment of juvenile idiopathic polyarthritis (PJIA; rheumatoid factor positive or negative and extended oligoarthritis) in patients 2 years of age and older, who have responded inadequately to previous therapy with MTX (monotherapy or in combination with MTX). Systemic juvenile idiopathic arthritis (sJIA): the treatment of active systemic juvenile idiopathic arthritis (sJIA) in patients 2 years of age and older, who have responded inadequately to previous therapy with NSAIDs and systemic corticosteroids (monotherapy or in combination with MTX).";https://www.ema.europa.eu/en/medicines/human/EPAR/tofidence
Xalkori;crizotinib;crizotinib;"XALKORI as monotherapy is indicated for:- The first line treatment of adults with anaplastic lymphoma kinase (ALK) positive advanced non small cell lung cancer (NSCLC)- The treatment of adults with previously treated anaplastic lymphoma kinase (ALK) positive advanced non small cell lung cancer (NSCLC)- The treatment of adults with ROS1 positive advanced non small cell lung cancer (NSCLC)- The treatment of paediatric patients (age 1 to &lt;18 years) with relapsed or refractory systemic anaplastic lymphoma kinase (ALK) positive anaplastic large cell lymphoma (ALCL)- The treatment of paediatric patients (age 1 to &lt;18 years) with recurrent or refractory anaplastic lymphoma kinase (ALK) positive unresectable inflammatory myofibroblastic tumour (IMT)";https://www.ema.europa.eu/en/medicines/human/EPAR/xalkori
Pemetrexed Sandoz;pemetrexed;pemetrexed disodium hemipentahydrate;Malignant pleural mesothelioma Pemetrexed Sandoz in combination with cisplatin is indicated for the treatment of chemotherapy naive patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed Sandoz in combination with cisplatin is indicated for the first-line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed Sandoz is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed Sandoz is indicated as monotherapy for the second-line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.;https://www.ema.europa.eu/en/medicines/human/EPAR/pemetrexed-sandoz
